Date,Apple,Banana,Blackberry,Blueberry,Cherry,Chokeberry,Dark Grape,Ginger,Grapefruit,Hazelnut,Lemon,Lime,Orange,Peach,Pear,Plum,Raspberry,Strawberry,Tangerine,Walnut,Watermelon,White Grape
2022-09-19,1.75,6.5,,24.5,,6.0,7.5,10.5,5.5,14.5,5.5,10.5,6.25,5.25,3.5,2.5,25.0,,8.75,25.0,3.75,8.0
2022-09-28,1.75,6.5,,24.5,,6.0,7.0,11.0,5.75,13.0,5.5,10.5,6.25,5.25,3.5,2.5,23.0,,9.0,17.5,3.75,4.5
2022-10-04,1.75,6.5,,24.0,,6.0,7.0,11.0,5.75,13.0,5.5,10.5,6.25,4.65,2.75,2.25,23.0,24.0,9.0,6.0,3.75,6.0
2022-10-13,2.0,5.75,,29.0,,6.0,7.0,11.0,5.75,13.0,6.5,10.5,6.15,5.1,3.75,2.25,23.0,22.0,9.5,9.0,3.75,6.0
2022-10-18,1.8,5.75,,29.0,,,7.0,11.0,6.25,9.5,5.75,10.5,5.75,5.1,3.75,2.75,30.0,23.0,9.5,7.5,3.75,6.0
2022-10-25,1.8,5.75,,29.0,,,7.5,11.0,6.25,11.0,5.75,11.5,6.0,,3.5,4.25,37.5,21.0,10.5,7.5,4.75,5.75
2022-11-23,1.35,5.75,,29.0,,,9.75,14.0,6.25,10.0,6.5,16.0,5.75,,3.0,4.5,38.5,33.0,6.75,7.5,,8.0
2022-12-15,1.95,5.75,,29.0,,,9.75,13.5,5.5,9.0,6.0,12.0,5.75,,3.25,5.5,39.0,29.0,5.25,22.5,,11.0
2023-01-31,1.95,6.3,,29.0,,,13.75,15.0,5.75,9.0,6.0,14.0,4.75,,3.75,5.5,39.0,,6.5,22.5,,13.5
2023-02-08,1.75,6.199999999999999,,46.5,,,14.5,16.5,5.6,6.75,6.0,16.5,5.0,,4.75,5.5,39.0,30.0,6.5,22.5,,14.5
2023-02-15,2.0,6.25,,54.0,,,14.0,16.5,5.75,8.5,6.0,16.5,5.75,,4.949999999999999,,39.0,33.0,8.5,,,15.5
2023-02-21,2.0,6.25,,54.0,,,14.0,16.5,5.75,8.5,6.0,16.5,5.75,,4.949999999999999,,39.0,33.0,8.5,,,15.5
2023-03-03,1.65,6.25,,54.0,,,16.5,16.5,5.9,9.5,6.5,16.5,5.5,,4.5,,39.0,24.0,7.0,,,17.5
2023-03-09,1.45,5.9,,54.0,,,13.75,22.5,5.9,9.5,5.75,16.5,5.25,,4.75,,39.0,21.0,6.25,,,13.75
2023-03-16,1.5,5.9,,54.0,,,12.6,22.5,5.8,9.5,5.75,24.5,5.5,,4.5,,39.0,21.0,6.8,,,18.5
